goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,pressures,Kenya,-0.1317142857143291,  ,KEN
AO,pressures,Kerguelen Islands,-0.03742857142858422,  ,NA
AO,pressures,Kuwait,0.384000000000041, ,KWT
AO,pressures,Latvia,-0.42885714285725224,  ,LVA
AO,pressures,Lebanon,0.17342857142858947, ,LBN
AO,pressures,Liberia,0.025428571428574437, ,LBR
AO,pressures,Libya,0.7151428571429621, ,LBY
AO,pressures,Line Islands (Kiribati),-0.062285714285723055,  ,KIR
AO,pressures,Lithuania,-0.13514285714289995,  ,LTU
AO,pressures,Macquarie Island,0.0014285714285812883, ,NA
AO,pressures,Madagascar,-0.10028571428573912,  ,MDG
AO,pressures,Madeira,-0.09628571428574186,  ,NA
AO,pressures,Malaysia,-0.1305714285714626,  ,MYS
AO,pressures,Maldives,-0.266000000000081,  ,MDV
AO,pressures,Malta,0.048571428571427294, ,MLT
AO,pressures,Marshall Islands,0.09057142857145146, ,MHL
AO,pressures,Mauritania,-0.14600000000003452,  ,MRT
AO,pressures,Mauritius,-0.07057142857142192,  ,MUS
AO,pressures,Mayotte,-0.05200000000001225,  ,MYT
AO,pressures,Mexico,0.05514285714287991, ,MEX
AO,pressures,Micronesia,-0.035428571428594256,  ,FSM
AO,pressures,Monaco,-0.26142857142861586,  ,MCO
AO,pressures,Montenegro,-0.10342857142858808,  ,MNE
AO,pressures,Montserrat,0.027428571428585426, ,MSR
AO,pressures,Morocco,-0.04000000000001059,  ,MAR
AO,pressures,Mozambique,0.4502857142857952, ,MOZ
AO,pressures,Myanmar,-0.528571428571525,  ,MMR
AO,pressures,Namibia,0.03314285714287181, ,NAM
AO,pressures,Nauru,0.7411428571430267, ,NRU
AO,pressures,Netherlands,-0.00314285714283768,  ,NLD
AO,pressures,New Caledonia,-0.0145714285714322,  ,NCL
AO,pressures,New Zealand,-0.09057142857144211,  ,NZL
AO,pressures,Nicaragua,-0.09257142857144132,  ,NIC
AO,pressures,Nigeria,0.11200000000001785, ,NGA
AO,pressures,Niue,-0.06371428571430231,  ,NIU
AO,pressures,Norfolk Island,0.08542857142859737, ,NFK
AO,pressures,North Korea,0.07628571428574131, ,PRK
AO,pressures,Northern Mariana Islands and Guam,-0.12685714285716584,  ,GUM
AO,pressures,Northern Saint-Martin,-0.13485714285717265,  ,NA
AO,pressures,Norway,-0.023714285714301998,  ,NOR
AO,pressures,Oecussi Ambeno,-0.06114285714286596,  ,NA
AO,pressures,Oman,0.03942857142855749, ,OMN
AO,pressures,Pakistan,-0.07942857142861545,  ,PAK
AO,pressures,Palau,0.17971428571431747, ,PLW
AO,pressures,Palmyra Atoll,-0.14228571428574138,  ,NA
AO,pressures,Panama,-0.1625714285714637,  ,PAN
AO,pressures,Papua New Guinea,-0.17885714285716756,  ,PNG
AO,pressures,Peru,-0.055428571428649556,  ,PER
AO,pressures,Philippines,-0.39571428571435946,  ,PHL
AO,pressures,Phoenix Islands (Kiribati),-0.19428571428575533,  ,NA
AO,pressures,Pitcairn,0.22200000000004638, ,PCN
AO,pressures,Poland,-0.08428571428572691,  ,POL
AO,pressures,Portugal,-0.24857142857148143,  ,PRT
AO,pressures,Prince Edward Islands,0.17457142857145896, ,NA
AO,pressures,Puerto Rico and Virgin Islands of the United States,-0.027428571428570876,  ,PRI
AO,pressures,Qatar,0.09285714285714658, ,QAT
AO,pressures,R_union,-0.0942857142857309,  ,NA
AO,pressures,Republique du Congo,0.05371428571428527, ,COD
AO,pressures,Romania,-0.13057142857147092,  ,ROU
AO,pressures,Russia,-0.1494285714286022,  ,RUS
AO,pressures,Saba,0.00600000000000009, ,NA
AO,pressures,Saint Helena,0.12771428571432059, ,SHN
AO,pressures,Saint Kitts and Nevis,0.45171428571441635, ,KNA
AO,pressures,Saint Lucia,0.32114285714292706, ,LCA
AO,pressures,Saint Pierre and Miquelon,-0.19628571428574904,  ,SPM
AO,pressures,Saint Vincent and the Grenadines,-0.04942857142857912,  ,VCT
AO,pressures,Samoa,-0.34514285714294274,  ,WSM
AO,pressures,Sao Tome and Principe,-0.11057142857145157,  ,STP
AO,pressures,Saudi Arabia,0.006571428571387949, ,SAU
AO,pressures,Senegal,-0.2757142857143188,  ,SEN
AO,pressures,Seychelles,-0.2951428571429147,  ,SYC
AO,pressures,Sierra Leone,0.09742857142858878, ,SLE
AO,pressures,Singapore,-0.3545714285714969,  ,SGP
AO,pressures,Sint Eustatius,-0.21428571428573484,  ,NA
AO,pressures,Sint Maarten,0.0754285714285454, ,SXM
AO,pressures,Slovenia,-0.013714285714309559,  ,SVN
AO,pressures,Solomon Islands,-0.22457142857144677,  ,SLB
AO,pressures,Somalia,-0.230285714285754,  ,SOM
AO,pressures,South Africa,0.32971428571432404, ,ZAF
AO,pressures,South Georgia and the South Sandwich Islands,0.3197142857143601, ,SGS
AO,pressures,South Korea,-0.25714285714284113,  ,KOR
AO,pressures,Spain,0.16057142857145723, ,ESP
AO,pressures,Sri Lanka,-0.10771428571431695,  ,LKA
AO,pressures,Sudan,0.12428571428573713, ,SDN
AO,pressures,Suriname,0.18714285714291953, ,SUR
AO,pressures,Sweden,0.0402857142857385, ,SWE
AO,pressures,Syria,0.7388571428572314, ,SYR
AO,pressures,Taiwan,-0.12885714285716793,  ,TWN
AO,pressures,Tanzania,0.09942857142857756, ,TZA
AO,pressures,Thailand,-0.08314285714286072,  ,THA
AO,pressures,Togo,-0.17742857142864224,  ,TGO
AO,pressures,Tokelau,-0.1837142857143335,  ,TKL
AO,pressures,Tonga,-0.11628571428574098,  ,TON
AO,pressures,Trinidad and Tobago,-0.050285714285718514,  ,TTO
AO,pressures,Tristan da Cunha,0.09828571428573873, ,NA
AO,pressures,Tunisia,-0.07371428571431035,  ,TUN
AO,pressures,Turkey,0.06400000000002697, ,TUR
